MEMORY:,,* ALMEMO Control * Ver. AC-6.0.3.1 - 16.11.2017 13:00:56 * 06.08.2020 15:11:19                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,,,,,,,,
ALMEMO,K:,,,,,,,,,,,,,
V7,BEREICH:,P204,Ntc ,P Uw,P td,P tw,Ntc ,HcrH,H td,H r ,NiCr,NiCr,NiCr,D2.6
710,KOMMENTAR:,WBGT,Psychromet,Feuchte,Taupunkt,Feuchttemp,Temp_T5,Feuchte_T5,TP_T5,Mischung,blatt aktu,blatt dry,blatt wet,quantum
V7,GW-MAX:,,,,,,,,,,,,,
$000016,GW-MIN:,,,,,,,,,,,,,
DATUM:,ZEIT:,M0.0 °C,M1.0 °C,M1.1 %H,M1.2 °C,M1.3 °C,M2.0 °C,M2.1 %H,M2.2 °C,M2.3 gk,M3.0 °C,M4.0 °C,M5.0 °C,M7.0 Wm
06.08.2020,14:39:31,38.55,33.73,33.3,15.5,21.36,34.50,28.4,13.7,9.7,31.3,33.8,26.5,177
06.08.2020,14:39:41,38.57,33.84,33.2,15.5,21.42,34.52,27.7,13.3,9.5,31.4,33.7,26.6,161
06.08.2020,14:39:51,38.59,33.91,33.2,15.6,21.48,34.55,29.8,14.5,10.2,31.3,33.7,26.6,152
06.08.2020,14:40:01,38.62,33.83,33.5,15.7,21.49,34.56,29.5,14.3,10.1,31.5,33.7,26.7,177
06.08.2020,14:40:11,38.64,33.64,34.1,15.8,21.49,34.56,26.3,12.6,9.0,31.3,33.7,26.7,157
06.08.2020,14:40:21,38.66,33.67,31.9,14.8,20.99,34.56,25.8,12.3,8.8,30.8,33.3,25.8,173
06.08.2020,14:40:31,38.70,33.75,31.0,14.4,20.83,34.55,26.1,12.4,8.9,31.0,33.2,25.3,158
06.08.2020,14:40:41,38.71,33.67,31.3,14.4,20.83,34.56,27.5,13.2,9.4,31.0,33.1,25.3,137
06.08.2020,14:40:51,38.73,33.74,31.4,14.6,20.92,34.56,27.5,13.2,9.4,30.9,33.1,25.5,137
06.08.2020,14:41:01,38.74,33.43,32.3,14.7,20.90,34.55,28.3,13.7,9.7,30.7,33.0,25.5,138
06.08.2020,14:41:11,38.75,33.20,31.9,14.3,20.64,34.53,25.7,12.2,8.8,30.6,32.9,25.5,146
06.08.2020,14:41:21,38.76,33.31,30.9,14.0,20.49,34.50,25.6,12.1,8.7,30.2,32.9,25.6,147
06.08.2020,14:41:31,38.76,33.14,31.5,14.1,20.51,34.47,26.1,12.4,8.9,30.2,32.9,25.4,150
06.08.2020,14:41:41,38.77,33.20,31.2,14.0,20.48,34.45,27.4,13.1,9.3,30.2,32.8,25.5,150
06.08.2020,14:41:51,38.78,33.09,31.6,14.1,20.50,34.41,29.0,13.9,9.9,30.4,32.5,25.4,151
06.08.2020,14:42:01,38.78,32.93,32.2,14.2,20.51,34.36,28.8,13.8,9.8,30.8,32.8,25.6,153
06.08.2020,14:42:11,38.78,32.95,32.8,14.6,20.69,34.34,29.6,14.2,10.0,30.8,32.8,25.6,151
06.08.2020,14:42:21,38.79,33.03,33.4,14.9,20.88,34.32,29.9,14.3,10.1,30.7,32.9,25.8,153
06.08.2020,14:42:31,38.79,33.02,34.1,15.3,21.04,34.31,29.3,14.0,9.9,30.5,32.8,25.9,150
06.08.2020,14:42:41,38.80,32.70,34.3,15.0,20.83,34.28,28.1,13.3,9.5,30.5,32.8,26.0,149
06.08.2020,14:42:51,38.80,32.65,34.1,14.9,20.75,34.24,26.5,12.4,8.9,30.5,32.8,26.0,143
06.08.2020,14:43:01,38.80,32.67,33.0,14.4,20.50,34.21,25.7,11.9,8.6,30.2,32.6,25.6,144
06.08.2020,14:43:11,38.80,32.42,32.2,13.8,20.15,34.14,25.0,11.4,8.4,29.7,32.2,25.2,142
06.08.2020,14:43:21,38.79,32.09,32.0,13.4,19.87,34.07,26.7,12.4,8.9,29.9,32.0,24.8,141
06.08.2020,14:43:31,38.78,31.99,32.4,13.5,19.88,34.01,26.9,12.4,8.9,30.0,31.9,24.8,139
06.08.2020,14:43:41,38.77,32.16,32.2,13.6,19.96,33.97,26.0,11.9,8.6,30.2,32.0,24.9,139
06.08.2020,14:43:51,38.76,32.28,31.6,13.4,19.89,33.94,25.6,11.6,8.5,30.1,32.1,25.0,137
06.08.2020,14:44:01,38.74,32.46,30.3,12.9,19.74,33.93,24.8,11.1,8.2,30.2,32.1,25.1,136
06.08.2020,14:44:11,38.74,32.68,29.6,12.8,19.74,33.92,26.1,11.9,8.6,30.3,32.1,25.3,135
06.08.2020,14:44:21,38.74,32.67,30.2,13.1,19.88,33.92,25.6,11.6,8.5,30.7,32.3,25.1,135
06.08.2020,14:44:31,38.71,32.84,30.6,13.4,20.08,33.94,26.5,12.1,8.8,31.2,32.6,25.3,134
06.08.2020,14:44:41,38.71,32.99,30.6,13.5,20.19,33.96,26.6,12.2,8.8,31.3,32.8,25.3,134
06.08.2020,14:44:51,38.71,33.12,30.7,13.7,20.31,33.98,27.8,12.9,9.2,31.2,32.8,25.3,135
06.08.2020,14:45:01,38.71,33.02,31.4,13.9,20.39,34.01,28.8,13.5,9.6,31.2,32.7,25.3,134
06.08.2020,14:45:11,38.69,32.91,32.0,14.2,20.47,34.03,26.3,12.1,8.8,31.0,32.6,25.4,134
06.08.2020,14:45:21,38.68,33.08,31.4,14.0,20.45,34.05,27.3,12.7,9.1,30.8,32.6,25.3,134
06.08.2020,14:45:31,38.68,33.10,31.6,14.1,20.51,34.07,27.8,13.0,9.3,31.0,32.8,25.3,134
06.08.2020,14:45:41,38.68,33.16,31.7,14.2,20.59,34.07,27.3,12.7,9.1,31.1,32.8,25.3,134
06.08.2020,14:45:51,38.68,33.21,31.2,14.0,20.47,34.08,25.5,11.7,8.5,30.8,32.7,25.5,135
06.08.2020,14:46:01,38.68,33.30,30.4,13.7,20.35,34.10,26.3,12.2,8.8,30.9,32.8,25.4,134
06.08.2020,14:46:11,38.68,33.35,30.4,13.7,20.39,34.12,27.1,12.6,9.1,31.0,33.0,25.7,134
06.08.2020,14:46:21,38.68,33.34,31.0,14.1,20.54,34.13,27.1,12.6,9.1,30.9,33.1,25.9,134
06.08.2020,14:46:31,38.66,33.27,31.8,14.4,20.68,34.14,30.2,14.3,10.1,31.0,33.2,25.8,134
06.08.2020,14:46:41,38.66,33.12,31.5,14.1,20.49,34.14,26.3,12.2,8.8,30.8,33.1,25.8,134
06.08.2020,14:46:51,38.68,33.15,30.8,13.8,20.34,34.14,25.6,11.8,8.6,30.5,32.9,25.7,134
06.08.2020,14:47:01,38.66,33.15,29.8,13.3,20.10,34.14,25.2,11.6,8.4,30.4,32.9,25.7,134
06.08.2020,14:47:11,38.66,33.18,29.2,13.0,19.98,34.14,25.0,11.4,8.4,30.1,33.0,25.9,134
06.08.2020,14:47:21,38.66,33.28,28.8,12.9,19.97,34.15,24.6,11.2,8.2,30.1,33.1,26.1,134
06.08.2020,14:47:31,38.65,33.28,28.9,12.9,19.97,34.16,25.8,11.9,8.6,30.3,33.1,26.0,134
06.08.2020,14:47:41,38.65,33.10,30.1,13.4,20.16,34.17,28.2,13.3,9.5,30.7,32.9,26.0,133
06.08.2020,14:47:51,38.65,32.98,31.0,13.7,20.28,34.15,27.9,13.1,9.3,31.3,33.1,26.0,133
06.08.2020,14:48:01,38.65,32.98,31.6,14.0,20.41,34.15,29.1,13.8,9.8,31.7,33.2,26.2,133
06.08.2020,14:48:11,38.65,33.08,32.1,14.4,20.61,34.15,29.2,13.8,9.8,31.8,33.2,26.2,132
06.08.2020,14:48:21,38.66,33.02,32.6,14.6,20.69,34.16,28.2,13.3,9.5,31.9,33.1,26.3,132
06.08.2020,14:48:31,38.66,32.93,33.1,14.7,20.72,34.16,28.6,13.5,9.6,31.9,33.1,26.5,132
06.08.2020,14:48:41,38.66,33.04,33.1,14.8,20.80,34.17,27.4,12.8,9.2,31.5,33.1,26.6,131
06.08.2020,14:48:51,38.68,32.99,33.0,14.7,20.76,34.18,26.9,12.6,9.0,31.2,33.0,26.7,131
06.08.2020,14:49:01,38.68,32.97,33.1,14.7,20.77,34.19,28.1,13.3,9.4,31.3,33.0,26.4,131
06.08.2020,14:49:11,38.68,32.93,33.4,14.8,20.79,34.19,28.0,13.2,9.4,31.8,33.1,26.4,130
06.08.2020,14:49:21,38.68,33.01,33.2,14.8,20.82,34.19,26.2,12.2,8.8,31.6,33.2,26.5,130
06.08.2020,14:49:31,38.68,33.03,33.0,14.8,20.79,34.19,26.4,12.3,8.9,31.2,33.2,26.7,130
06.08.2020,14:49:41,38.69,32.77,33.3,14.6,20.65,34.20,26.6,12.4,8.9,30.9,33.1,26.6,129
06.08.2020,14:49:51,38.69,32.53,32.8,14.2,20.36,34.18,25.1,11.5,8.4,31.1,33.0,26.4,129
06.08.2020,14:50:01,38.70,32.43,32.2,13.8,20.14,34.16,24.7,11.3,8.3,31.4,33.0,26.3,129
06.08.2020,14:50:11,38.70,32.41,31.7,13.6,20.03,34.15,25.2,11.6,8.4,31.6,33.1,26.2,129
06.08.2020,14:50:21,38.69,32.39,31.4,13.4,19.94,34.15,26.6,12.4,8.9,31.6,33.1,26.3,129
06.08.2020,14:50:31,38.69,32.18,32.5,13.8,20.05,34.13,27.8,13.0,9.3,31.6,32.9,26.0,128
06.08.2020,14:50:41,38.70,32.05,33.1,13.9,20.08,34.10,26.0,12.0,8.7,31.7,32.8,25.9,128
06.08.2020,14:50:51,38.70,31.95,32.5,13.6,19.87,34.06,24.7,11.2,8.2,31.5,32.8,26.0,128
06.08.2020,14:51:01,38.69,31.91,31.3,13.0,19.58,34.01,24.7,11.1,8.2,30.9,32.7,25.9,128
06.08.2020,14:51:11,38.68,31.93,30.7,12.7,19.46,33.96,26.6,12.2,8.8,31.0,32.5,25.5,128
06.08.2020,14:51:21,38.68,31.97,30.6,12.6,19.45,33.93,25.9,11.8,8.6,31.1,32.3,25.4,128
06.08.2020,14:51:31,38.66,32.05,30.6,12.7,19.52,33.91,28.0,13.0,9.3,31.1,32.2,25.4,128
06.08.2020,14:51:41,38.65,32.05,31.4,13.1,19.71,33.90,27.9,12.9,9.2,31.0,32.1,25.3,128
06.08.2020,14:51:51,38.63,32.17,31.3,13.2,19.76,33.88,25.8,11.7,8.5,31.0,32.1,25.5,128
06.08.2020,14:52:01,38.62,32.23,31.3,13.2,19.81,33.87,27.7,12.8,9.1,31.1,32.2,25.5,128
06.08.2020,14:52:11,38.61,32.34,31.1,13.2,19.83,33.86,26.2,11.9,8.6,30.7,32.2,25.5,128
06.08.2020,14:52:21,38.60,32.65,30.3,13.1,19.87,33.87,25.7,11.6,8.5,30.1,32.2,25.6,128
06.08.2020,14:52:31,38.59,32.69,30.4,13.2,19.93,33.89,27.1,12.4,8.9,30.2,32.2,25.8,128
06.08.2020,14:52:41,38.58,32.43,31.5,13.5,19.99,33.91,27.6,12.7,9.1,30.6,32.2,25.9,128
06.08.2020,14:52:51,38.57,32.12,32.4,13.7,19.98,33.91,26.6,12.2,8.8,30.9,32.3,25.9,128
06.08.2020,14:53:01,38.56,32.03,32.6,13.7,19.97,33.89,26.1,11.9,8.6,31.0,32.5,26.0,129
06.08.2020,14:53:11,38.56,32.10,32.3,13.6,19.95,33.91,25.3,11.4,8.3,30.9,32.6,26.0,129
06.08.2020,14:53:21,38.55,32.12,32.1,13.5,19.91,33.93,26.2,12.0,8.7,30.9,32.6,26.2,129
06.08.2020,14:53:31,38.53,32.09,31.9,13.4,19.85,33.96,28.1,13.1,9.3,31.1,32.8,26.4,130
06.08.2020,14:53:41,38.52,32.17,32.2,13.6,19.98,33.99,28.0,13.0,9.3,31.4,32.9,26.5,130
06.08.2020,14:53:51,38.51,32.25,33.4,14.3,20.31,34.03,30.4,14.3,10.1,31.8,33.0,26.8,130
06.08.2020,14:54:01,38.49,32.43,33.6,14.5,20.48,34.06,27.6,12.9,9.2,31.8,33.2,27.0,130
06.08.2020,14:54:11,38.49,32.68,32.6,14.3,20.44,34.08,26.0,12.0,8.7,31.4,33.2,27.2,131
06.08.2020,14:54:21,38.48,32.77,32.8,14.4,20.54,34.11,29.0,13.7,9.7,31.3,33.0,27.1,131
06.08.2020,14:54:31,38.47,32.56,33.7,14.7,20.60,34.13,28.5,13.4,9.5,31.4,32.9,26.8,132
06.08.2020,14:54:41,38.46,32.33,34.2,14.7,20.54,34.11,27.1,12.6,9.1,31.6,32.8,26.7,132
06.08.2020,14:54:51,38.45,32.21,33.7,14.4,20.35,34.09,26.3,12.2,8.8,31.8,32.8,26.6,133
06.08.2020,14:55:01,38.44,32.08,33.3,14.1,20.16,34.07,27.3,12.7,9.1,31.8,32.5,26.3,134
06.08.2020,14:55:11,38.43,31.94,33.5,14.0,20.10,34.04,28.0,13.1,9.3,31.9,32.2,25.9,136
06.08.2020,14:55:21,38.43,31.87,33.6,14.0,20.07,34.02,26.7,12.3,8.9,31.9,32.3,25.9,137
06.08.2020,14:55:31,38.42,31.86,33.2,13.8,19.98,34.00,26.4,12.1,8.8,31.9,32.3,26.2,138
06.08.2020,14:55:41,38.41,31.89,32.5,13.5,19.83,33.98,25.4,11.5,8.4,31.7,32.5,26.3,139
06.08.2020,14:55:51,38.39,31.92,31.9,13.2,19.71,33.98,25.8,11.8,8.6,31.7,32.6,26.2,143
06.08.2020,14:56:01,38.38,31.88,31.9,13.2,19.70,33.98,27.4,12.7,9.1,31.8,32.6,26.1,146
06.08.2020,14:56:11,38.36,31.77,32.3,13.3,19.71,33.99,26.6,12.2,8.8,31.7,32.5,26.2,149
06.08.2020,14:56:21,38.34,31.77,31.3,12.8,19.47,33.97,24.8,11.2,8.2,31.2,32.4,26.2,153
06.08.2020,14:56:31,38.33,31.98,29.9,12.3,19.30,33.93,25.4,11.5,8.4,30.5,32.2,26.0,156
06.08.2020,14:56:41,38.31,31.99,29.9,12.3,19.32,33.91,25.9,11.8,8.6,30.5,32.1,26.0,160
06.08.2020,14:56:51,38.29,32.06,30.2,12.5,19.42,33.92,25.7,11.7,8.5,30.7,32.2,26.0,163
06.08.2020,14:57:01,38.28,32.11,30.5,12.7,19.54,33.94,25.7,11.7,8.5,30.8,32.3,25.9,166
06.08.2020,14:57:11,38.26,32.37,30.6,13.0,19.73,34.01,25.0,11.3,8.3,31.1,32.4,26.0,170
06.08.2020,14:57:21,38.25,32.61,30.2,13.0,19.83,34.07,25.1,11.4,8.4,31.1,32.5,26.0,172
06.08.2020,14:57:31,38.24,32.80,30.4,13.3,20.01,34.13,25.4,11.7,8.5,30.8,32.4,26.2,174
06.08.2020,14:57:41,38.23,32.45,31.1,13.3,19.91,34.17,25.9,12.0,8.7,30.3,32.4,26.2,175
06.08.2020,14:57:51,38.22,32.18,30.1,12.6,19.50,34.11,25.2,11.5,8.4,30.0,32.3,26.2,177
06.08.2020,14:58:01,38.20,32.06,29.8,12.3,19.32,34.05,25.1,11.4,8.4,29.7,32.0,26.1,179
06.08.2020,14:58:11,38.18,32.01,29.4,12.1,19.21,33.98,26.0,11.9,8.6,29.7,32.0,25.9,181
06.08.2020,14:58:21,38.16,32.05,29.7,12.3,19.32,33.95,26.1,11.9,8.6,30.2,32.1,25.9,182
06.08.2020,14:58:31,38.13,32.22,30.1,12.6,19.52,33.95,25.2,11.4,8.3,29.9,32.2,25.8,186
06.08.2020,14:58:41,38.11,32.31,30.0,12.7,19.57,33.97,24.6,11.0,8.1,29.9,32.1,25.6,185
06.08.2020,14:58:51,38.10,32.40,29.8,12.6,19.57,33.99,25.0,11.3,8.3,30.3,32.3,25.5,187
06.08.2020,14:59:01,38.09,32.42,30.0,12.8,19.65,34.00,26.6,12.3,8.8,30.7,32.3,25.7,185
06.08.2020,14:59:11,38.05,32.45,30.5,13.0,19.78,34.02,25.8,11.8,8.6,31.1,32.4,25.9,190
06.08.2020,14:59:21,38.04,32.41,30.9,13.2,19.84,34.03,25.8,11.8,8.6,31.3,32.4,26.1,192
06.08.2020,14:59:31,38.02,32.44,30.8,13.2,19.84,34.03,26.4,12.2,8.8,30.8,32.4,26.2,194
06.08.2020,14:59:41,38.01,32.25,31.9,13.5,19.95,34.03,28.9,13.5,9.6,30.5,32.3,26.1,195
06.08.2020,14:59:51,37.99,32.10,33.0,13.9,20.10,34.01,26.7,12.3,8.9,30.8,32.4,26.2,197
06.08.2020,15:00:01,37.97,32.00,33.2,13.9,20.08,34.00,27.4,12.7,9.1,31.0,32.5,26.2,198
06.08.2020,15:00:11,37.96,32.01,33.5,14.1,20.14,34.00,27.2,12.6,9.0,31.2,32.6,26.3,195
06.08.2020,15:00:21,37.95,32.08,33.6,14.2,20.22,34.02,26.7,12.3,8.9,31.1,32.6,26.2,199
06.08.2020,15:00:31,37.95,31.91,33.5,14.0,20.07,34.02,26.3,12.1,8.7,31.3,32.7,26.3,198
06.08.2020,15:00:41,37.94,31.72,32.9,13.5,19.79,33.99,25.8,11.8,8.6,31.3,32.6,26.2,197
06.08.2020,15:00:51,37.93,31.75,32.1,13.2,19.65,33.95,24.9,11.2,8.2,31.1,32.6,26.1,197
06.08.2020,15:01:01,37.91,31.77,31.8,13.1,19.59,33.92,28.0,13.0,9.3,31.4,32.6,25.7,194
06.08.2020,15:01:10,37.90,31.68,32.1,13.1,19.60,33.89,28.0,12.9,9.2,31.6,32.5,25.6,192
